nim,nama,jenis_kelamin,angkatan,status_mahasiswa,id_prodi,asal_daerah,id_univ
240000000,Eka Purnawati,L,2024,Aktif,PRODI23,Nusa Tenggara Barat,2
240000002,Rina Utama,P,2020,Cuti,PRODI32,Sumatera Selatan,2
240000005,Unggul Prabowo,L,2023,Aktif,PRODI29,Maluku Utara,2
240000008,Maman Wibowo,L,2021,Aktif,PRODI29,Sumatera Utara,2
240000010,Winda Usamah,L,2022,Aktif,PRODI35,Sumatera Barat,2
240000011,T. Mulyono Wulandari,P,2023,Aktif,PRODI12,Papua,2
240000012,Karsana Halim,L,2024,Aktif,PRODI25,Sumatera Selatan,2
240000015,Carla Jailani,L,2021,Aktif,PRODI13,Jawa Timur,2
240000016,Prasetyo Waluyo,P,2021,Aktif,PRODI21,Sulawesi Tenggara,2
240000018,Praba Nababan,L,2021,Cuti,PRODI18,Sulawesi Utara,2
240000020,Ulva Yulianti,P,2023,Aktif,PRODI07,Kalimantan Barat,2
240000024,Bahuraksa Permadi,P,2024,Aktif,PRODI29,Banten,2
240000025,dr. Rudi Mangunsong,L,2021,Aktif,PRODI23,Maluku Utara,2
240000026,Salwa Kusumo,L,2022,Aktif,PRODI13,Sulawesi Barat,2
240000031,Genta Najmudin,L,2023,Aktif,PRODI35,Maluku Utara,2
240000035,Gamani Mardhiyah,P,2024,Aktif,PRODI36,DKI Jakarta,2
240000037,Dimaz Ramadan,L,2020,Lulus,PRODI30,Sulawesi Selatan,2
240000038,Viktor Laksmiwati,P,2022,Aktif,PRODI27,Jawa Barat,2
240000040,Uli Pudjiastuti,L,2020,Aktif,PRODI27,Kalimantan Timur,2
240000041,Zaenab Uyainah,P,2020,Aktif,PRODI14,Jawa Tengah,2
240000042,Dt. Paiman Wulandari,P,2023,Aktif,PRODI14,Kalimantan Barat,2
240000045,Winda Usamah,P,2022,Nonaktif,PRODI13,Kalimantan Barat,2
240000049,drg. Gatot Zulaika,L,2022,Aktif,PRODI25,Riau,2
240000050,Bakiono Wijaya,L,2022,Aktif,PRODI32,Sulawesi Utara,2
240000053,Argono Sinaga,P,2023,Aktif,PRODI13,Bangka Belitung,2
240000055,Putri Hakim,L,2023,Drop Out,PRODI34,Bangka Belitung,2
240000056,KH. Atmaja Maryati,P,2023,Aktif,PRODI35,Papua Barat,2
240000057,Cawuk Saptono,L,2021,Aktif,PRODI37,Bangka Belitung,2
240000058,KH. Harto Napitupulu,L,2023,Aktif,PRODI10,Sumatera Barat,1
240000060,R. Eman Pertiwi,L,2021,Aktif,PRODI32,Papua,2
240000061,Vino Gunawan,L,2020,Lulus,PRODI33,Kalimantan Selatan,2
240000062,Vanesa Hariyah,P,2020,Aktif,PRODI23,Nusa Tenggara Timur,2
240000064,Raden Kurniawan,P,2020,Lulus,PRODI14,Papua,2
240000068,Ifa Mardhiyah,P,2021,Aktif,PRODI09,Jambi,1
240000069,Ir. Ellis Siregar,P,2022,Aktif,PRODI11,Maluku,2
240000070,Jane Fujiati,L,2020,Aktif,PRODI13,DI Yogyakarta,2
240000071,R.A. Rahmi Tamba,P,2024,Aktif,PRODI33,Lampung,2
240000072,Karimah Novitasari,L,2023,Aktif,PRODI36,Aceh,2
240000073,Cut Rini Marpaung,P,2021,Aktif,PRODI23,Maluku Utara,2
240000075,Tari Kusmawati,L,2023,Aktif,PRODI18,Jambi,2
240000076,Salman Wastuti,P,2020,Lulus,PRODI25,Sulawesi Tenggara,2
240000077,Ir. Latika Halim,L,2020,Lulus,PRODI12,Kepulauan Riau,2
240000079,Kayla Prabowo,L,2022,Cuti,PRODI35,Nusa Tenggara Barat,2
